Name,Value,,,,,,,,,,,,,,,
User,Administrator,,,,,,,,,,,,,,,
Creation Time,01/20/2016 13:39:14 EST,,,,,,,,,,,,,,,
Read Time,01/20/2016 13:40:36 EST,,,,,,,,,,,,,,,
Layout,Standard,,,,,,,,,,,,,,,
Type,96 Multi-Spot 4,,,,,,,,,,,,,,,
Wells Per Row,12,,,,,,,,,,,,,,,
Wells Per Col,8,,,,,,,,,,,,,,,
Spots Per Well,4,,,,,,,,,,,,,,,
Stack ID,0,,,,,,,,,,,,,,,
Barcode1,25E5MAPB94,,,,,,,,,,,,,,,
Barcode2,N/A,,,,,,,,,,,,,,,
Barcode3,N/A,,,,,,,,,,,,,,,
Plate #,N/A,,,,,,,,,,,,,,,
Model,Model1300,,,,,,,,,,,,,,,
Serial #,1.30013E+12,,,,,,,,,,,,,,,
Version,4.0.12 (LSR_4_0_12),,,,,,,,,,,,,,,
Orient,0,,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Experiment_2016-01-20-134111: Experiment Data Table,,,,,,,,,,,,,,,,
Plate Name,Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
Plate_25E5MAPB94,U012,Adiponectin,C05,1,1,,39485,39485,38241,38240.5,4.602420937,,,24.09879683,23.27800072,4.986600882
Plate_25E5MAPB94,U012,Adiponectin,C06,1,1,,36996,36996,38241,38240.5,4.602420937,,,22.45720461,23.27800072,4.986600882
Plate_25E5MAPB94,U013,Adiponectin,C07,1,1,,21884,21884,21994,21993.5,0.704100689,,,12.72786439,12.79673643,0.761129799
Plate_25E5MAPB94,U013,Adiponectin,C08,1,1,,22103,22103,21994,21993.5,0.704100689,,,12.86560847,12.79673643,0.761129799
Plate_25E5MAPB94,U014,Adiponectin,C09,1,1,,19759,19759,19510,19510,1.804916335,,,11.39700742,11.24183249,1.952088249
Plate_25E5MAPB94,U014,Adiponectin,C10,1,1,,19261,19261,19510,19510,1.804916335,,,11.08665756,11.24183249,1.952088249
Plate_25E5MAPB94,U015,Adiponectin,C11,1,1,,295,295,293,293,0.96533349,,,NaN,NaN,NaN
Plate_25E5MAPB94,U015,Adiponectin,C12,1,1,,291,291,293,293,0.96533349,,,NaN,NaN,NaN
Plate_25E5MAPB94,U016,Adiponectin,D03,1,1,,23388,23388,22555,22555,5.222965628,,,13.67596723,13.15100399,5.645273388
Plate_25E5MAPB94,U016,Adiponectin,D04,1,1,,21722,21722,22555,22555,5.222965628,,,12.62604075,13.15100399,5.645273388
